prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, Berlin,0.699219,5,55050.24,3.5571,2.7235,1.6701,175.7892,237.5548,386.6355,0.943089,0.963000,8373.9307
1,Die Hauptstadt von Deutschland ist, Berlin,0.867188,6,35604.66,4.2924,1.4060,1.4270,195.3302,193.0666,350.0757,0.936385,0.959973,8520.6758
2,La capitale de l'Allemagne est, Berlin,0.894531,10,33184.65,3.1634,1.2522,1.6367,169.0526,138.0783,308.4344,0.935971,0.960765,9237.3262
3,La capital de Alemania es, Ber,0.667969,6,30075.09,5.1000,3.0785,1.5837,184.2327,199.9187,368.8088,0.938587,0.963467,9169.1113
4,La capitale della Germania è, Ber,0.671875,7,29724.25,3.9298,2.8050,1.5727,167.8346,177.9499,346.2226,0.937935,0.961428,9109.5420
5,A capital da Alemanha é, Ber,0.570312,7,29574.92,4.0767,3.6910,1.6513,172.0509,184.8355,346.2185,0.936434,0.960736,9183.0254
6,Столица Германии —, Б,0.535156,9,30148.76,3.3762,3.1486,1.5166,185.0108,151.3523,304.7631,0.932582,0.958959,8711.1562
7,ドイツの首都は,ベル,0.523438,4,27218.08,5.9770,3.8978,1.4552,208.7570,274.0604,443.5060,0.941031,0.964998,8825.2988
8,德国的首都是,柏林,0.400391,4,28893.07,4.8266,3.2661,1.6226,155.4179,257.3591,403.7939,0.939193,0.964043,8295.7129
9,독일의 수도는, 어디,0.316406,5,30893.71,6.4759,4.2964,1.4181,204.3982,216.8191,380.9879,0.938591,0.964702,8617.3223
10,Hoofdstad van Duitsland is, Ber,0.785156,9,27138.86,3.1519,1.9530,1.6287,168.3558,157.1182,311.7885,0.930482,0.958156,8814.2324
11,Tysklands huvudstad är, Berlin,0.851562,9,25485.85,4.2112,1.5347,1.6213,171.2455,153.6945,310.1819,0.929890,0.954867,8299.7793
